GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
monitoreoapi,mx.santander.monitoreoapi.model.response,ErrorResponse,0,27,0,0,0,10,0,5,0,5
monitoreoapi,mx.santander.monitoreoapi.model.response,DetalleConImporteGlobalDTO,0,20,0,0,0,9,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.response,ImporteTotalDivisaDTO,0,9,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.response,PagoDetalleDTO,0,33,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.response,TotalGlobalOperacionesDTO,0,9,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity,TipoPagoEntity,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity,Auditoria,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity,TipoOperacionEntity,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity,ParamTransEntity,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity,DivisaEntity,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity,OperPagoEntity,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity,StatusOperEntity,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.exception,GlobalExceptionHandler,0,53,0,0,0,17,0,4,0,4
monitoreoapi,mx.santander.monitoreoapi.exception,FiltroInvalidoException,0,9,0,0,0,4,0,2,0,2
monitoreoapi,mx.santander.monitoreoapi,MonitoreoapiApplication,0,8,0,0,0,3,0,2,0,2
monitoreoapi,mx.santander.monitoreoapi.service,CatalogoService,0,16,0,0,0,5,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.service,PagoService,0,152,0,4,0,36,0,9,0,7
monitoreoapi,mx.santander.monitoreoapi.model.entity.embed,Montos,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity.embed,Intermediario,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity.embed,RespuestaApp,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity.embed,Identificadores,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity.embed,Fechas,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity.embed,Receptor,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.model.entity.embed,Ordenante,0,3,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.controller,CatalogoController,0,5,0,0,0,1,0,1,0,1
monitoreoapi,mx.santander.monitoreoapi.controller,PagoController,0,43,0,4,0,11,0,5,0,3
